Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Number of Fatalities,Bus Involvement,Heavy Rigid Truck Involvement, Articulated Truck Involvement,Speed Limit, National Remoteness Areas,SA4 Name 2021,National LGA NAme 2021,National Road Type,Christmas Period,Easter Period,Day of week, Time of Day
20233040,QLD,4,2023,Friday,18:00,Single,1,No,No,No,70,Major Cities of Australia,Ipswich,Ipswich,National or State Highway,No,Yes,Weekend,Night
20232165,VIC,4,2023,Sunday,19:12,Single,2,No,No,No,80,Inner Regional Australia,Hume,Wangaratta,Arterial Road,No,Yes,Weekend,Night
20232012,VIC,4,2023,Sunday,18:02,Single,1,No,No,No,100,Outer Regional Australia,North West,Horsham,Sub-arterial Road,No,No,Weekend,Night
20231200,NSW,4,2023,Monday,23:28,Single,1,No,No,No,50,Inner Regional Australia,New England and North West,Tamworth Regional,Local Road,No,Yes,Weekday,Night
20237002,NT,4,2023,Saturday,6:00,Single,1,No,No,No,110,Very Remote Australia,Northern Territory - Outback,MacDonnell,Sub-arterial Road,No,Yes,Weekend,Day
20236004,TAS,4,2023,Sunday,6:25,Single,1,No,No,No,100,Outer Regional Australia,Launceston and North East,George Town,National or State Highway,No,Yes,Weekend,Day
20235037,WA,4,2023,Sunday,19:12,Single,1,No,No,No,60,,,,,No,No,Weekend,Night
20235056,WA,4,2023,Friday,19:00,Single,1,No,No,No,60,,,,,No,No,Weekend,Night
20231033,NSW,4,2023,Saturday,16:54,Multiple,1,No,No,No,50,Major Cities of Australia,Sydney - Parramatta,Cumberland,Collector Road,No,No,Weekend,Day
20233010,QLD,4,2023,Sunday,22:00,Multiple,3,No,No,No,80,Inner Regional Australia,Wide Bay,Fraser Coast,Sub-arterial Road,No,No,Weekend,Night
20231087,NSW,4,2023,Saturday,14:29,Multiple,1,No,No,No,50,Major Cities of Australia,Richmond - Tweed,Tweed,Local Road,No,No,Weekend,Day
20231158,NSW,4,2023,Thursday,14:30,Single,1,No,No,No,70,Major Cities of Australia,Sydney - Baulkham Hills and Hawkesbury,Hawkesbury,Local Road,No,Yes,Weekday,Day
20231125,NSW,4,2023,Friday,9:25,Multiple,1,No,No,No,100,Outer Regional Australia,Coffs Harbour - Grafton,Clarence Valley,Arterial Road,No,Yes,Weekday,Day
20231077,NSW,4,2023,Friday,6:45,Multiple,4,No,No,No,100,Inner Regional Australia,Capital Region,Yass Valley,National or State Highway,No,Yes,Weekday,Day
20231201,NSW,4,2023,Tuesday,15:50,Multiple,1,No,No,No,50,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown,Local Road,No,No,Weekday,Day
20233145,QLD,4,2023,Thursday,8:00,Single,1,No,No,No,50,Major Cities of Australia,Gold Coast,Gold Coast,Local Road,No,No,Weekday,Day
20233079,QLD,4,2023,Thursday,11:00,Multiple,1,No,No,No,100,Inner Regional Australia,Wide Bay,Bundaberg,Local Road,No,No,Weekday,Day
20233098,QLD,4,2023,Monday,13:00,Multiple,1,No,No,No,100,Outer Regional Australia,Townsville,Townsville,Collector Road,No,Yes,Weekday,Day
20231044,NSW,4,2023,Saturday,19:00,Single,1,No,No,No,100,Outer Regional Australia,Central West,Cabonne,Arterial Road,No,No,Weekend,Night
20231106,NSW,4,2023,Saturday,18:10,Single,1,No,No,No,100,Inner Regional Australia,Riverina,Wagga Wagga,National or State Highway,No,No,Weekend,Night
20233003,QLD,4,2023,Friday,23:00,Single,1,No,No,No,60,Major Cities of Australia,Ipswich,Ipswich,Collector Road,No,No,Weekend,Night
20231179,NSW,4,2023,Thursday,10:44,Multiple,1,No,No,No,50,Inner Regional Australia,Richmond - Tweed,Richmond Valley,Local Road,No,No,Weekday,Day
20233122,QLD,4,2023,Wednesday,14:00,Single,1,No,No,No,50,Outer Regional Australia,Mackay - Isaac - Whitsunday,Whitsunday,Sub-arterial Road,No,No,Weekday,Day
20234049,SA,4,2023,Tuesday,15:02,Single,1,No,No,No,50,Major Cities of Australia,Adelaide - South,Marion,Collector Road,No,No,Weekday,Day
20231149,NSW,4,2023,Wednesday,9:28,Single,1,No,No,No,90,Inner Regional Australia,Hunter Valley exc Newcastle,Cessnock,Arterial Road,No,No,Weekday,Day
20231023,NSW,4,2023,Thursday,10:50,Multiple,1,No,Yes,No,100,Outer Regional Australia,Capital Region,Snowy Monaro Regional,Arterial Road,No,No,Weekday,Day
20232105,VIC,4,2023,Thursday,14:30,Single,1,No,No,No,-9,Unknown,Unknown,Unknown,,No,No,Weekday,Day
20231144,NSW,4,2023,Monday,6:45,Multiple,1,No,No,No,110,Inner Regional Australia,Capital Region,Goulburn Mulwaree,National or State Highway,No,No,Weekday,Day
20231046,NSW,4,2023,Wednesday,13:15,Single,1,No,No,No,100,Remote Australia,Murray,Balranald,Arterial Road,No,No,Weekday,Day
20232090,VIC,4,2023,Monday,6:35,Multiple,1,No,Yes,No,50,Unknown,Unknown,Unknown,Collector Road,No,No,Weekday,Day
